text,date,sentiment
"SOLFEST 2024
hi, just wanna salute CEAT SG for the event today. despite all the criticisms and stress before the event, I can say na the concert today was fun and worth it. kudos to the people behind this event po. I was disappointed din at first with all the happenings and handling nila sa mga nangyari these past few days, pero now, after the concert, all I can say is worth the money naman and it was an unforgettable experience hehe. ganda ng set up ng stage tapos may LED pa lovet!!  thank you for making this event happen po. hoping to see a solfest 2025, pero much better na! 
- girlypop na kinilig sa performances",3/13/24,
"Kita mo talaga sa ceatsg na walang accountability e, nagturn off comments, nagdelete pa ng comments, walang public statement/apology pati masyadong reply sa mga concerns. Andami ninyong taong na-agrabyado tapos wala lang? 
Kaya mas maraming natuwa sa cbaasg bukod sa business students sila at alam nila how to handle big events like this, they know how to handle critism. Nabash din naman yung flaire last time pero after ng concert puro “thank you cbaasg” na yung mga comments. Sa ceat puro padin problema yung comments pano imbis na iaddress tinurn off comments o kaya dinelete. Hindi naman magiging possible ung event nyo kung walang attendees, kailangan nyo pa din kami kung gusto nyo maging successful yung solfest nyo.
Accept criticism and be accountable kung gusto nyong magkaroon nang marami pang solfest kung pinagpapatuloy nyo nyan for sure maraming madadala at hindi na aattend kahit maganda pa pasabog at line up nyo.",3/14/24,
"Weird mga nag haha react dito lalo for flair lineup lang naman talaga match, unlike sa SOLFEST",3/15/24,
"Hi admin  pa post lang
In addition to that sa sinabi nito , the lineup was no excuse and it was fire you guys did a great job CEAT STUDENT GOVERNMENT. But there are flaws upon the VIP as well as VVIP
These are the issues and ALL LOVE CEAT GOV AS YOU READ JUST A REMINDED FOR YOU Y’ALL WITHIN THE COUNCIL HAVING A DISCUSSION ABOUT THIS
ISSUES: 
1. Sa next ng solfest sana maayos ang ticketing system of e-tickets i mean a lot of people had a issue on the tickets waiting for 2 days or 8 days and it did happened to me especially ma-overthink ka kasi you bought a 1499 or 1799 ticket cause we paid much.
2.  And i saw this in the comment, before mag concert on behalf on everybody issue on reserving the seats on the concert, CEAT STUDENT GOVERNMENT this is always been done online before the event happens as the individual who brought the ticket they get the option to reserve their seats before the event happens. However, you guys should prepare it better next for the people who would buy the VVIP and ability to interact with the artist, concept of RESERVING SEATS HAPPENS AFTER BUYING THE TICKET.
3. Your camera men had just robbed our experience meaning not ‘robbed’ just placed it near the BARRIERS  on the VIP’s i mean like WTF? we didnt get to interact with the artist seeing them upclose and i saw denise julia had a rehearsal she gone down stage and goes to the VVIP to VIP section at yun ang ginawa nya and a lot of us saw her practice. 
Those are the major issues in the event and the guy who proposed this salute to you and for more next concert i hope you had this next discussion to your members and taking notes about this
As for the CBAA Student government i know you guys may held another concert next but i do sure hope have a VIP OR VVIP and i am hoping for it to happen para makapag interact sa artist 
Yun lang po thank you 
ALL LOVE AND CONGRATULATIONS CEAT STUDENT GOVERNMEN",3/16/24,
"flair 2024 >>>> solfest
comclusion: wag na talaga mag concert ibang colleges. IBIGAY. NIYO. NA. LAGI. SA. CBAA. sila mas may experience, sila mas makaka execute ng maayos (somehow)
cscs graduating gae!",3/17/24,
"nagkakalokohan nalang tayo sa solfest e, ibalik nyo nalang pera namin. Daig nyo pa scammer nag off comments ang galing! Baka nalilimutan nyong pera namin yang nasa inyo!",3/18/24,
"hindi na ba magagawan ng paraan yung pagbawal ng tumblers for solfest? sa panahon ngayon kailangan na talaga ng tubig para maiwasan ang dehydration lalo na since open yung area tapos unpredictable pa ang weather ?? though i understand na for safety purposes siya, baka pwedeng payagan kami sa pagdala ng empty tumbler or yung may yelo man lang sa loob para malamig if ever may refilling station sa loob (sana meron ????). hindi rin kasi environment-friendly kapag lahat ng attendees mapipilitang bumili ng water bottle sa loob kasi nakakadagdag siya ng plastic waste ??",3/19/24,
"SOLFEST VVIP.
Here is my sentiment on the seat plan.
How will we enjoy if kami mismo pipili ng sarili naming seats? Hindi ba kaya nga bumili kami ng VVIP is magkaroon ng ""RESERVED SEATING?"" unang una sa lahat, hindi nyo clinarify ang ganyang system nyo. Kami pala ang mag rereserve akala namin kayo?
""Chance to seat with your loved ones"" eh magkakaibang batch ung kasama namin pano kami magkakasama?
For example batch 1 ako nakapag reserve tapos ang friend ko is batch 3, edi syempre lalayo
Also, CEATSG bat nyo naman tinurn off comments nyo? Can't you guys handle criticisms? ganyan na ba kayo 
Nakakadissappoint. Tapos over 2k people ang VVIP wala. Grabe dapat may limitationd tayo tungkol dyan. Kawawa ang mga nasa VIP parang nag Gen Ad narin sila dahil sa layo ng view sa mga artist.
CEATSG. DO BETTER.",3/20/24,
"Hello po! lf kasama po sa solfest:(( not from dlsu-d and minor rin huhu, need ko talaga kasama para payagan ako??
MABAIT AKO PROMISE??
ps. hindi pa nakaka bili ng tix kasi walang kasama:,)
‘yung same age ko rin po sana and bloom rin!! btw i’m 15 po, F. thank you po!",3/21/24,
"Hindi ba mas dadami yung ticket sale kung pede minors, kahit pang last wave na para mayna mga matatandaa
Sayang naman nagiipon ako para sa solfest kaya di nakasama sa 1st wave huhu dapat from the start sinabi nyo na po na bawal minors para di po kami umasa??",3/22/24,
